NAME,TAGLINE,HQ REGION,HQ COUNTRY,HQ CITY kész,LATITUDE,LONGITUDE,TOTAL FUNDING (EUR M) kész,TAGS,INDUSTRIES,SUB INDUSTRIES,GROWTH STAGE,INVESTORS,EACH INVESTOR TYPES,Closest FUA
Altered,A Swedish innovation company that provides low effort but high impact solutions for making life more sustainable for the many people,Europe,Sweden,Stockholm,59.3339996,18.0611798,1.98,sustainable development goals;climate tech,energy;home living,water,early growth,European Innovation Council;Almi Invest;Imagine H2O;Fredrik Österberg,government;venture_capital;accelerator;angel,Stockholm
Xzero,Developed a proprietary compact system for the production of ultra pure water,Europe,Sweden,Stockholm,59.3251172,18.0710935,1.3,water treatment;sustainable development goals;climate tech,energy,water,seed,European Innovation Council,government,Stockholm
Ferroamp Elektronik AB,"Develops, manufactures and markets innovative power electronics for a more efficient use of electrical energy",Europe,Sweden,Stockholm,59.3921169,17.8768643,3.08,consumer electronics;sustainable development goals;climate tech;nordic rising star 2022,energy,energy efficiency;clean energy;energy storage,late growth,EIT InnoEnergy;Almi Invest;European Innovation Council;Sustainable Energy Angels,venture_capital;venture_capital;government;angel_fund,Stockholm
SaltX Technology,Developed a worldwide patented ground-breaking nanotechnology that enables storing energy in salt and delivering high quality steam,Europe,Sweden,Stockholm,59.2894118,17.94946595,2.83,sustainable development goals;climate tech;novel energy;grid energy storage,energy,energy storage,early growth,Industrifonden,venture_capital,Stockholm
Solkompaniet,"Supplies turn key grid connected photovoltaic systems, consulting services and applied research",Europe,Sweden,Stockholm,59.3251172,18.0710935,1.1,solar energy;sustainable development goals;climate tech,energy,energy efficiency;clean energy,late growth,apotea.se,corporate,Stockholm
C-Green,Presenting a revolutionary new way to convert wet sludge into biofuel,Europe,Sweden,Stockholm,59.3491146,18.070051,5.75,sustainable development goals;biofuel;biomass;recycling;waste reduction;climate tech;nordic rising star 2022;circular economy,energy,oil & gas;waste solution,early growth,Almi Invest;Curitas Ventures,venture_capital;corporate,Stockholm
Karma,"An app that connects restaurants, cafes and grocery stores with users eager to purchase unsold food at a lower price",Europe,Sweden,Stockholm,59.330381,18.058744,17.96,superfood;food waste;social entrepreneurship;groceries;sustainable development goals;climate tech;nordic rising star 2022;waste reduction;circular economy,food;energy,food logistics & delivery;in-store retail & restaurant tech;waste solution,late growth,Propel Capital;DHS Venture Partners;Magnus Bergman;Mattias Miksche;Sophia Bendz;Filip Engelbert;Jonas Nordlander;Norrsken VC;Headline (formerly e.ventures);Eequity;Kinnevik;Bessemer Venture Partners;Electrolux;Lars Lindgren;Daniel Frodin;Daniel Lauren;Foxhelm Ventures;Johan Siwers;Sting;SUP46;Rocketship;J12 Ventures;Otiva,"angel_fund,venture_capital;venture_capital;angel;angel;angel;angel;angel;venture_capital;venture_capital;private_equity,venture_capital;venture_capital;venture_capital;corporate;angel;angel;angel;venture_capital;angel;accelerator;workspace;venture_capital;venture_capital;private_equity",Stockholm
&Repeat,Platform for circular packaging economy,Europe,Sweden,Stockholm,59.3251172,18.0710935,1.65,recycling;sustainable development goals;climate tech;nordic rising star 2022;circular economy,food;energy,,early growth,Alliance Venture;Magnus Wiberg;Patrik Hedelin,venture_capital;angel;angel,Stockholm
Hexicon,"Engaged in the design, development and engineering of floating multi-turbine wind power platforms",Europe,Sweden,Stockholm,59.3341298,18.0539636,2.82,sustainable development goals;wind energy;climate tech;nordic rising star 2022;offshore wind;blue economy;bluetech,energy,energy efficiency;water;clean energy,late growth,,,Stockholm
Enerpoly,A next-generation energy storage technology company pioneering rechargeable zinc-ion battery chemistry,Europe,Sweden,Stockholm,59.3491146,18.070051,3.9,sustainable development goals;ev battery;climate tech;stationary energy storage;electric mobility;grid energy storage;novel energy;alternative battery chemistry,energy;transportation,energy storage,early growth,European Innovation Council;Vinnova;Swedish Energy Agency;Sting;+Impact;Propel Capital;Fredrik Sidhagen;Johan Nord;For ClimateTech,"government;government;government;accelerator;accelerator;angel_fund,venture_capital;angel;angel;venture_capital",Stockholm
ClimateView,ClimateView created the world’s first climate SaaS for cities: ClimateOS. It overcomes the #1 barrier to climate action: linking co2 and $$,Europe,Sweden,Stockholm,59.32954511,18.06597988,12.3,sustainable development goals;carbon tracking & offset;gov/civictech;climate tech;nordic rising star 2022;climate fintech,energy;enterprise software,clean energy,late growth,Norrsken VC;Nordic Makers VC;Max Ventures;GGV Capital;Hampus Jakobsson;CommerzVentures;NordicNinja VC;2050;Gaingels;BaltCap;URBAN-X,"venture_capital;venture_capital;venture_capital;venture_capital;angel;venture_capital;venture_capital;venture_capital;venture_capital;private_equity,venture_capital;corporate",Stockholm
Skyqraft,"An award-winning Swedish technology company using AI to inspect powerlines and other critical infrastructure in a safer, more cost-efficient, and sustainable way",Europe,Sweden,Stockholm,59.334171,18.057781,2.61,drones;inspection;autonomous mobility;nordic rising star 2022;space tech;sustainable development goals;esa bic;industrial technology;security and safety;space tech to energy;industrial analytics;climate tech;digital twin;space downstream;esa;risk management;big data &amp; analytics,energy;enterprise software,energy providers,early growth,Antler;Subvenio Invest;Next Human Ventures;Creative Destruction Lab;Sustainable Energy Angels;ESA BIC Sweden,venture_capital;venture_capital;venture_capital;accelerator;angel_fund;accelerator,Stockholm
H2 Green Steel,Large-scale steel producer based on a fossil-free manufacturing process targeting large European OEMs,Europe,Sweden,Stockholm,59.3251172,18.0710935,355.45,sustainable development goals;steel;hydrogen;industrial technology;climate tech;nordic rising star 2022;top 50 nordic rising star 2022 sweden;novel energy;green buildings;hydrogen novel energy;urban tech;circular economy;advanced materials,energy,clean energy,late growth,Vargas Holding;EIT InnoEnergy;Exor;FAM AB;Kingspan Group;Mercedes-Benz;Scania;SMS group;Cristina Stenbeck;Daniel Ek;Robert Maersk Uggla;Ane Maersk Uggla;Altor Equity Partners;Bilstein Group;IMAS Foundation;Stena Metall;Marcegaglia;FAM.se;Swedbank Robur;GIC;AMF;UniCredit;Societe Generale;ING Group;BNP Paribas;Swedish Export Credit Corporation;KFW;European Investment Bank;Euler Hermes;Swedish National Debt Office;Hitachi;Kobe Steel;Kinnevik;Just Climate;Schaeffler Production CZ,"investment fund;venture_capital;corporate;corporate;corporate;corporate;corporate;corporate;angel;angel;angel;angel;private_equity,venture_capital;corporate;investment fund;corporate;corporate;investment fund;venture_capital;sovereign_wealth_fund;corporate;corporate;corporate;corporate;investment fund;government;investment fund;government & non-profit;corporate;government;corporate;corporate;venture_capital;private_equity,venture_capital;corporate",Stockholm
Spowdi,Providing solar-powered water distribution,Europe,Sweden,Stockholm,59.3149982,18.1603056,1.1,sustainable development goals;climate tech,food;energy,agritech;clean energy;water,early growth,Almi Invest,venture_capital,Stockholm
Tiptapp,"Crowdsourced Recycling. Have a neighbour pick up and bring along stuff you need to get rid of. You can think of it as ridesharing, but for things",Europe,Sweden,Stockholm,59.33482406,18.06708144,4.2,recycling;waste reduction,energy,waste solution,early growth,Ashley Heppenstall;Erik Fischbeck;Filip Engelbert;GP Bullhound;Jonas Nordlander;Merro;Per Brilioth,"angel;angel;angel;advisor,venture_capital;angel;venture_capital;angel",Stockholm
Cacharge,"Offers parking companies, utilities and other partners efficient EV charging solutions",Europe,Sweden,Stockholm,59.3251172,18.0710935,2.42,mobility;charging technology;sustainable development goals;climate tech;nordic rising star 2022,energy;transportation,energy efficiency;clean energy;maintenance,early growth,Lars Appelstål;Carl Hirsch;Per-Uno Sandberg;Stefan Bengtsson;Propel Capital;Sting;EIT InnoEnergy,"angel;angel;angel;angel;angel_fund,venture_capital;accelerator;venture_capital",Stockholm
Tip Tapp,Application platform used for buying and selling used and recyclable products,Europe,Sweden,Stockholm,59.3251172,18.0710935,4.2,recycling,energy,waste solution,early growth,Filip Engelbert;Jonas Nordlander;GP Bullhound;Otiva,"angel;angel;advisor,venture_capital;private_equity",Stockholm
MyFC,Manufacturer of micro fuel cells and chargers for portable consumer electronic devices such as smartphones and tablets,Europe,Sweden,Stockholm,59.3251172,18.0710935,6.58,charging technology;sustainable development goals;climate tech;spinout,energy,energy storage,early growth,Svenska Handelsbanken AB;Skandiabanken;Eurostars SME programme;KTH Chalmers Capital;Sting;KTH Royal Institute of Technology,corporate;venture_capital;government;venture_capital;accelerator;university,Stockholm
Watty,AI that helps you make smart energy decisions,Europe,Sweden,Stockholm,59.3186701,18.0707103,4.05,smart home;smart grid;sustainable development goals;tea;climate tech;smart home energy management;urban tech,energy,energy efficiency;energy storage,seed,Loudspring;EQT Ventures;European Innovation Council;Discovergy;EIT InnoEnergy,venture_capital;venture_capital;government;corporate;venture_capital,Stockholm
Alight (formerly Eneo Solutions),A leading solar-as-a-service provider for corporations in Europe,Europe,Sweden,Stockholm,59.3420193,18.0622275,163.2,smart grid;solar energy;commerce;sustainable development goals;climate tech,energy,energy providers;clean energy;energy storage,late growth,Infranode;D-Ax;Gullspang Invest;DIF;Norrsken VC,investment fund;venture_capital;family_office;venture_capital;venture_capital,Stockholm
Lithium de France,"Lithium de France, a subsidiary of the French group Arverne,   develops projects in synergy: geothermal heat and green lithium",Europe,France,Strasbourg,48.7697196,7.8476782,52.0,geothermal energy;next-gen lithium novel energy;ev battery;electric mobility;sustainable development goals;climate tech,energy;transportation,energy storage;clean energy,early growth,Equinor Ventures;Langa International;Norsk Hydro;Arverne Group,corporate_venture_fund;corporate;venture_capital;company,Strasbourg
Variolytics,"Develops innovative sensor technologies for better process control in industrial processes, using climate-neutral sewage treatment plants",Europe,Germany,Stuttgart,48.7784485,9.1800132,2.72,wastewater treatment;sustainable development goals;climate tech;industrial automation;machinery manufacturing,energy,water,early growth,FTTF;High-Tech Gründerfonds;European Innovation Council;EIC Fund (European Innovation Council Fund),venture_capital;venture_capital;government;venture_capital,Stuttgart
Instagrid,Provider of mobile power infrastructure,Europe,Germany,Stuttgart,48.888006,9.185248,38.5,sustainable development goals;climate tech;battery;stationary energy storage;portable energy storage,energy,energy storage,late growth,High-Tech Gründerfonds;Segnalita;Martin Global;SET Ventures;EIT InnoEnergy;Energy Impact Partners (EIP);Maria 01,venture_capital;venture_capital;venture_capital;venture_capital;venture_capital;venture_capital;accelerator,Stuttgart
Hy2gen AG,Operate plants worldwide for the production of green hydrogen and hydrogen-based e-fuels,Europe,Germany,Stuttgart,48.6289,9.02564,200.0,hydrogen;novel energy;sustainable development goals;climate tech;zero emission fuel,energy,energy storage;clean energy,early growth,Hy24;Mirova;Caisse de dépôt et placement du Québec;Technip Energies,"private_equity;private_equity;private_equity,venture_capital;corporate",Tubingen
Etogas,"The ETOGAS GmbH (formerly SolarFuel GmbH) develops, manufactures and sells systems for the conversion of excess green electricity into",Europe,Germany,Stuttgart,48.72459,9.11408,6.82,telecommunications;sustainable development goals;climate tech,energy,,seed,,,Stuttgart
Thinkstep,Leader in Sustainability Performance Management,Europe,Germany,Stuttgart,48.691916,9.167265,18.91,sustainable development goals;content;climate tech,energy;enterprise software,,late growth,Next47;GIMV;Sphera,"corporate_venture_fund,venture_capital;private_equity;corporate",Stuttgart
Cool4sea,Cooling technology that recycles thermal waste energy and utilizes it for marine air-conditioning and battery cooling,Europe,Denmark,Svendborg,55.055687,10.613068,1.06,cooling tech;mechanical solutions;sustainable development goals;marine;climate tech;blue economy;bluetech,energy;transportation,waste solution,seed,European Innovation Council,government,Odense
Efenco,"Cold-Plasma-Assisted Carbon Neutral Combustion (CPA PAC for short) technology for industrial heat production to achieve a whole new level of efficiency & GHG emissions reduction in the burning of methane, hydrogen & their mixtures",Europe,Estonia,Tallinn,59.4372155,24.7453688,2.5,sustainable development goals;climate tech;waste reduction;waste to energy;building energy management;industrial technology,energy,waste solution;energy efficiency,seed,European Innovation Council;EIC Fund (European Innovation Council Fund),government;venture_capital,Tallinn
Arbonics,A tech-based carbon and ecosystem platform for forest and landowners in Europe,Europe,Estonia,Tallinn,59.4372155,24.7453688,1.8,carbon tracking & offset;sustainable development goals;climate tech;climate fintech,energy,,early growth,Taavet Hinrikus;Plural Platform,angel;venture_capital,Tallinn
Woola,Using waste wool to replace plastic bubble wrap,Europe,Estonia,Tallinn,59.4369608,24.7535746,3.4,sustainable development goals;climate tech,fashion;energy,accessories;waste solution,early growth,Martin Tajur;Martin Villig;Kair Käsper;Lemonade Stand;Karina Univer;Ragnar Sass;EIT Climate-KIC;Future Ventures;Kaarel Kotkas;Janer Gorohhov;Kristina Lilleõis;Zem Joaquin;Bryan Meehan;Lemonade Stand;Bolt,angel;angel;angel;angel_fund;angel;angel;accelerator;venture_capital;angel;angel;angel;angel;angel;corporate;venture_capital,Tallinn
Skeleton Technologies,"Global technology leader in supercapacitor energy storage, enabling electrification and reducing CO2 emissions",Europe,Estonia,Tallinn,59.4198544,24.8036836,209.48,automotive;aviation & aerospace;battery;sustainable development goals;ev battery other chemistry;ev battery;climate tech;novel energy;electric mobility;other chemistry novel energy;alternative battery chemistry;industrial technology,energy;transportation,vehicle production;energy storage,late growth,EIT InnoEnergy;Firstfloor Capital;Harju Elekter Group;European Investment Bank;European Innovation Council;UP Invest;German Federal Ministry for Economic Affairs and Energy;Free State of Saxony;Marubeni Corporation;MM Grupp;Taavet + Sten;Nidoco group;Bengt Wahlqvist;Taavet Hinrikus;Startup Wise Guys,venture_capital;venture_capital;corporate;government & non-profit;government;venture_capital;government;government;corporate;venture_capital;angel_fund;venture_capital;angel;angel;accelerator,Tallinn
UP Catalyst,UP Catalyst produces sustainable carbon nanomaterials directly from CO2 or from waste biomass for a vast range of applications ranging from green advanced battery technologies to biomedicine,Europe,Estonia,Tallinn,59.39864525,24.65774345,2.0,novel energy;advanced materials;space vehicles components and payloads;materials for space;space tech;sustainable development goals;ev battery;industrial technology;electric mobility;space upstream;esa bic;esa;circular economy;climate tech;carbon utilisation;carbon capture and storage,energy;space,energy storage,seed,ESA BIC ESTONIA;Sunly;Scottish Baltic Invest;Little Green Fund;UniTartu Ventures;University of Tartu,incubator;corporate;venture_capital;investment fund;venture_capital;university,Tallinn
Roofit.solar,A rapidly growing company that makes building integrated solar panels,Europe,Estonia,Tallinn,59.3936282,24.6083192,12.85,solar energy;sustainable development goals;climate tech;esa;space tech;esa sme;space downstream;space tech to energy;green buildings;urban tech,real estate;energy,clean energy,early growth,EIT Climate-KIC;BayWa re Energy Ventures;Spring Capital;Helmes;Taavet Hinrikus;Sten Tamkivi;EdgeCap Partners,accelerator;corporate_venture_fund;family_office;corporate;angel;angel;venture_capital,Tallinn
Elcogen,A manufacturer of efficient and high-performance fuel cells to help enable a clean energy future,Europe,Estonia,Tallinn,59.4213,24.81303,4.4,hydrogen;sustainable development goals;climate tech;novel energy;hydrogen novel energy,energy,oil & gas;energy efficiency,early growth,European Innovation Council,government,Tallinn
Gridio,A platform that makes electric vehicles charge when energy is the cheapest and cleanest,Europe,Estonia,Tallinn,59.4440742,24.7389647,1.0,climate tech;sustainable development goals;electric mobility,energy;transportation,energy efficiency;mobility;clean energy,early growth,Decacorn Capital;Specialist VC;Decacorn Capital;Link Capital;The Sharing Group;Sunly,venture_capital;venture_capital;corporate;venture_capital;corporate;corporate,Tallinn
Bisly,Next-generation building intelligence solutions make saving energy simple!,Europe,Estonia,Tallinn,59.4369608,24.7535746,1.7,sustainable development goals;climate tech;green buildings;building energy management;building energy efficiency;urban tech,real estate;energy,energy efficiency,early growth,eften capital,venture_capital,Tallinn
Lixea,"Lixea uses low-cost ionic liquids to fractionate biomass. The Dendronic process employs discarded wood, agricultural by-products, and biomass to generate an alternative the petrochemical sector",Europe,Estonia,Tallinn,59.4396838,24.7359904,4.35,sustainable development goals;biomass;chemistry;engineering solutions;industry 4.0;oil & gas;eicfund;climate tech;spinout,health;energy,waste solution;biotechnology,early growth,New Energy Challenge;European Innovation Council;Imperial College London;EIC Fund (European Innovation Council Fund);Tech Nation,accelerator;government;university;venture_capital;accelerator,Tallinn
Hepta Airborne,Offers high-quality consulting services in the design of electrical and communication networks,Europe,Estonia,Tallinn,59.39617695,24.65924557,2.79,drones;aerospace;predictive analytics;space tech;sustainable development goals;data analytics;space tech to energy;climate tech;esa bic;space downstream;esa,energy;robotics,energy efficiency,early growth,Contrarian Ventures;Expansion Capital;Thorgate Ventures;EIT InnoEnergy;SpeedUp Group;Markku Jääskelainen;ESA BIC ESTONIA;SpeedUp Energy Innovation,venture_capital;venture_capital;venture_capital;venture_capital;venture_capital;angel;incubator;venture_capital,Tallinn
FuseBox,Bridge between consumers and energy markets to save on energy costs and reduce CO2,Europe,Estonia,Tallinn,59.396998,24.6522372,4.07,sustainable development goals;climate tech,energy,energy providers;energy efficiency;clean energy,early growth,Contrarian Ventures;Fly Ventures;EIT Climate-KIC;Little Green Fund;PKO BP;Eneco Ventures,venture_capital;venture_capital;accelerator;investment fund;corporate;corporate_venture_fund,Tallinn
VOOL,Making ev chargers that are easier to use and more cost-effective than other options on the market,Europe,Estonia,Tallinn,59.4372155,24.7453688,1.7,electric mobility;ev charging;sustainable development goals;climate tech,energy;transportation,,early growth,Startup Wise Guys;Elar Nellis;Taavi Kotka;Specialist VC;Opus11;Justin Jenkins;Kersti Kaljulaid,accelerator;angel;angel;venture_capital;venture_capital;angel;angel,Tallinn
Spacedrip,Developed wastewater treatment robots that purify wastewater to clean water,Europe,Estonia,Tallinn,59.3039737,24.4396569,1.36,climate tech;sustainable development goals,energy;robotics,water;waste solution,early growth,Vestman Energia;Kuldar Väärsi;Taavi Veskimägi;Eigenkapital OÜ;Msm OÜ,corporate;user;user;venture_capital;company,Tallinn
Duckt,"A smart mobility startup that develops and operates docking, locking and charging infrastructure solutions for micromobility in urban environment",Europe,Estonia,Tallinn,59.4369608,24.7535746,1.16,micromobility;ev charging;sustainable development goals;electric mobility;ride sharing;climate tech,energy;transportation,energy storage;mobility,early growth,EIT InnoEnergy;ACTON,venture_capital;corporate,Tallinn
Merus Power Dynamics,"Designs and manufactures clean technology to improve power quality, energy efficiency, operational and environmental performance",Europe,Finland,Tampere,61.4765656,23.5109912,4.1,coding;solar energy;sustainable development goals;climate tech,energy,energy providers;clean energy;energy efficiency,late growth,VNT Management;Inventure;Finnvera Venture Capital;InnoFinance Oy,venture_capital;venture_capital;corporate_venture_fund;investment fund,Tampere
Kumbaya BV,"A Solar-Powered, telecommunication and Media Hub, \. Electrification powers connectivity.  Connectivity powers knowledge.  Knowledge powers social and economic progress",Europe,Netherlands,The Hague,52.07920728,4.34145665,2.0,modular;nutrition;solar energy;sustainable development goals;climate tech,telecom;energy,clean energy;energy storage,seed,,,The Hague
SOLHO,SOLHO develops solar-based energy systems to power greenhouse farms,Europe,Netherlands,The Hague,52.0129787,4.3658123,0.96,horticulture;sustainable development goals;solar energy;climate tech;academic startup competition,food;energy,clean energy;agritech,seed,European Innovation Council;Day One;SHIFT Invest;Rabobank,government;corporate;venture_capital;corporate,The Hague
Solaroad,The road that converts sunlight into electricity,Europe,Netherlands,The Hague,52.0822233,4.3257144,2.7,spinout;infrastructure services;modular;sustainable development goals;solar energy;climate tech,real estate;energy,clean energy;construction,seed,Provincie Noord Holland (APPA);TNO - Netherlands Organisation for Applied Scientific Research,corporate;non-profit,The Hague
Kitepower,Takes wind energy to the next level by replacing rigid constructions with smart controls and lightweight wings to produce cost-efficient and clean electricity,Europe,Netherlands,The Hague,51.994512,4.365735,8.95,wind energy;sustainable development goals;climate tech;novel energy;other categories novel energy,energy,energy providers;clean energy,early growth,Horizon 2020 FTI (Fast Track to Innovation);ENERGIIQ;ifund;Windhandel Beheer;InnovationQuarter;Delft Enterprises,government;venture_capital;venture_capital;venture_capital;venture_capital;venture_capital,The Hague
PHYSEE,"Develops solar, sensor and coating technologies for energy-neutral buildings",Europe,Netherlands,The Hague,52.0000448,4.3777806,9.2,spinout;novel energy;building energy efficiency;b corp;green buildings;construction tech;sustainable development goals;smart windows for cooling;solar energy;industrial technology;urban tech;climate tech;other categories novel energy,real estate;energy,real estate software;clean energy;energy efficiency;construction,early growth,European Innovation Council;Timeless Investments;DWI Grundbesitz;SHAPE Capital BV;Phase2Earth;Job Dura;Adunare;Edge Technologies;ScaleUpNation;Delft Enterprises;Edge Technologies,government;family_office;investment fund;venture_capital;venture_capital;angel;investment fund;corporate;accelerator;venture_capital;corporate,The Hague
Delft IMP,"Offers consultancy, research, and development services and licensing of IP on scalable production of nanostructured materials",Europe,Netherlands,The Hague,51.9933793,4.3866267,15.25,licensing;drones;developer tools;intellectual property;sustainable development goals;climate tech,energy,energy storage,early growth,Delft Enterprises;New Energy Challenge;Pjotr van Schothorst;EIT Climate-KIC;Invest-NL;Sandwater;PVS Investments,venture_capital;accelerator;angel;accelerator;investment fund;venture_capital;angel_fund,Rotterdam
Whiffle,Develops cutting-edge computing technology to produce ultra fine scale weather forecasts,Europe,Netherlands,The Hague,51.993398,4.386851,3.4,weather forecasting;climate tech;sustainable development goals;producer;spinout;climate risk,energy;enterprise software,clean energy,early growth,YES!Delft;Delft Enterprises;ENERGIIQ;SHIFT Invest;EIT Climate-KIC,accelerator;venture_capital;venture_capital;venture_capital;accelerator,Rotterdam
Circularise,Using blockchain to bring transparency to global supply chains and empower businesses to move towards a circular economy,Europe,Netherlands,The Hague,52.079249,4.3418333,12.5,recycling;waste reduction;sustainable development goals;supply chain management;material technology;climate tech;chemical;plastic;plastic pollution;ethereum;product traceability;circular economy;blue economy;bluetech;crypto compliance,energy;enterprise software,,early growth,European Innovation Council;Startup in Residence;Plug and Play;Startup Autobahn;EIT RawMaterials;4Impact;Plug & Play Topeka;Brightlands Venture Partners;Asahi Kasei;Neste;EIC Fund (European Innovation Council Fund),government;government & non-profit;venture_capital;accelerator;accelerator;venture_capital;accelerator;venture_capital;corporate;corporate;venture_capital,The Hague
EXASUN,Produces state-of-the-art solar panels for flat roofs and various types of 'solar tiles'​ for pitched roofs and facades,Europe,Netherlands,The Hague,52.044204,4.3570777,14.0,solar energy;modular;sustainable development goals;climate tech,real estate;energy,clean energy;energy efficiency,early growth,ING Group;ENERGIIQ;ABN AMRO;Icos Capital;No Such Ventures;InnovationQuarter;NSV;Invest-NL,"corporate;venture_capital;corporate;venture_capital;angel_fund,venture_capital;venture_capital;venture_capital;investment fund",The Hague
aQysta,"We partner with small farmers sharing risks and benefits to turn their small farm into a thriving business which cares for water, energy and soil they farm with",Europe,Netherlands,The Hague,51.993398,4.386851,1.83,hydropower;sustainable development goals;irrigation;climate tech,food;energy,water;agritech;clean energy,early growth,YES!Delft;European Innovation Council;Day One;Eurostars SME programme,accelerator;government;corporate;government,Rotterdam
Solar Monkey,Output prediction and monitoring of PV systems by making solar the world's leading power supply!,Europe,Netherlands,The Hague,52.079249,4.3418333,5.55,data analytics;predictive analytics;analytics;sustainable development goals;solar energy;energy tech;industrial technology;climate tech;spinout,energy,energy efficiency;clean energy,late growth,InnovationQuarter;YES!Delft;4Impact;EIT Climate-KIC;Eneco Ventures;Helen Ventures,venture_capital;accelerator;venture_capital;accelerator;corporate_venture_fund;corporate_venture_fund,The Hague
Tiler,"Manufactures a wireless charger for e-cargo bikes, e-scooters, e-mopeds, and autonomous cargo vehicles",Europe,Netherlands,The Hague,51.9920317,4.3885891,1.45,sustainable development goals;bike;academic startup competition;micromobility;climate tech;spinout;ev charging;electric mobility,energy;transportation,energy storage;mobility,late growth,UNIIQ;Delft Enterprises;NWO Take-off;PVS Investments;Rabobank;RVO Innovation Credit;Rockstart;Pjotr van Schothorst,venture_capital;venture_capital;government & non-profit;angel_fund;corporate;advisor;accelerator;angel,Rotterdam
Eternal Sun,Specialises in solar simulation technology for the purpose of product and material testing,Europe,Netherlands,The Hague,52.064487,4.3834512,2.0,solar energy;testing;verification;risk management;sustainable development goals;climate tech,energy,clean energy,late growth,Vermec;YES!Delft;EIT Climate-KIC,family_office;accelerator;accelerator,The Hague
TechnologyCatalogue.com,"We support the energy transition by providing an online platform that connects companies to technology suppliers and experts, and facilitates innovations towards a more sustainable energy sector",Europe,Netherlands,The Hague,52.0169567,4.359444,1.68,climate tech;sustainable development goals,energy,,early growth,Pjotr van Schothorst;PVS Investments;Rockstart,angel;angel_fund;accelerator,The Hague
Maeve Aero,"A company developing an electric, zero emission, regional commuter aircraft",Europe,Netherlands,The Hague,51.9934936,4.3862845,2.5,electric mobility;airplanes,energy;transportation,,early growth,European Innovation Council;EIC Fund (European Innovation Council Fund),government;venture_capital,Rotterdam
Nexperia Energy Harvesting Solutions,Enables companies to use the energy that is already readily available around the device,Europe,Netherlands,The Hague,51.993423,4.3856069,13.0,4g;gsm;smart home;rf technology;battery;consumer electronics;sustainable development goals;climate tech;novel energy;waste heat recovery;other categories novel energy;circular economy,energy,energy providers;energy efficiency,early growth,Disruptive Technology Ventures;Netherlands Enterprise Agency (RVO);Nexperia;EIC Fund (European Innovation Council Fund);European Innovation Council,venture_capital;government;corporate;venture_capital;government,Rotterdam
Agrifarm,"Entrepreneurship and innovation in agriculture, food, bioenergy and environmental technology.",Europe,Denmark,Tjele,56.486189,9.578675,1.43,farming;livestock;primary production;biofuel;sustainable development goals;climate tech,food;energy,agritech,seed,European Innovation Council,government,Aarhus
GFM Fotovoltaica,"GFM, Soluciones de Energía solar GFM fotovoltaica",Europe,Spain,Toledo,39.86183,-4.02524,1.46,solar energy;climate tech;sustainable development goals,energy,clean energy,early growth,,,Madrid
Fresh Inset,"REVOLUTIONARY SOLUTION FOR SHELF-LIFE EXTENSION, BETTER APPEARANCE, AND QUALITY OF FRESH PRODUCE, FIGHTING FOOD WASTE",Europe,Poland,Torun,53.0002796,18.61411027,3.86,crop protection;food waste;sustainable packaging;packaging solutions;food and agritech;agritech;industrial technology;food packaging;waste reduction;circular economy;climate tech;sustainable development goals,food;energy,agritech,seed,Montis Capital,venture_capital,Warsaw
SUNCNIM,"SUNCNIM is the solar subsidiary of the CNIM group which designs, builds (EPC) and operates solar plants",Europe,France,Toulon,43.10158,5.88174,60.0,solar energy;sustainable development goals;climate tech,energy,clean energy,early growth,,,Marseille
Enobraq,Developing fermentation processes to transform CO2 into commodity chemicals through synthetic biology,Europe,France,Toulouse,43.552187,1.482413,2.9,biotechnology;sustainable development goals;climate tech;synthetic biology;fermentation,health;energy,clean energy;biotechnology,seed,IRDInov;Auriga Partners;CEA Investissement;Sofinnova Partners;Supernova Invest;Auriga Partners (Paris),investment fund;venture_capital;venture_capital;venture_capital;venture_capital;venture_capital,Toulouse
SUNiBrain,Innovative cooling system for large photovoltaic power plants,Europe,France,Toulouse,43.613348,1.308293,1.3,solar energy;climate tech;sustainable development goals;cooling tech,energy,energy efficiency;clean energy,seed,Wiseed;Galia Gestion,"crowdfunding;private_equity,venture_capital",Toulouse
Eco-Tech Ceram,"Commercializes the EcoStock, a standardised unit which allows to store and value industries lost heat and energy produced by the renewables",Europe,France,Toulouse,43.626739,1.4900278,6.44,battery;waste heat recovery;sustainable development goals;climate tech;thermal energy storage,energy,energy storage;waste solution,early growth,EIT InnoEnergy;European Innovation Council;RGreen Invest;Qair Innovation;PSIM;Johes;Initiatives pour une Economie Solidaire;Crealia;Greentech Verte,venture_capital;government;investment fund;venture_capital;venture_capital;venture_capital;crowdfunding;accelerator;venture_capital,Toulouse
Water Horizon,Water Horizon develops highly innovative renewable energy solutions for industrial heating and cooling applications. The technology is an industrial transportable thermal battery. It recovers waste heat from industrial activities and it stores heat with a high density without any loss of energy over time,Europe,France,Toulouse,43.5644404,1.4908321,5.0,sustainable development goals;climate tech;thermal energy storage,energy,energy storage,early growth,Plug and Play;Banque des Territoires;Plug & Play Topeka,venture_capital;investment fund;accelerator,Toulouse
OpenAirlines,"Reduce fuel consumption on planes 2-5% through efficient real time routing, based on aggregated data, adapted to current conditions",Europe,France,Toulouse,43.6028381,1.4454734,2.0,airplanes;flight management;vivatech2019;sustainable development goals;aviation & aerospace;industrial technology;climate tech;b corp,energy;transportation,,late growth,Bpifrance;Alter Equity,"venture_capital;private_equity,venture_capital",Toulouse
